location,year,quarter,TIME,execrlc_before,execrlc_elected,govfrac,yrcurnt_next,source
EST,2007,Q1,2007.00,0,0,0.645763,4,"https://en.wikipedia.org/wiki/Estonian_parliamentary_election,_2007"
EST,2011,Q1,2011.00,0,0,0.615254,4,"https://en.wikipedia.org/wiki/Estonian_parliamentary_election,_2011"
FIN,1987,Q1,1987.00,3,2,0.664002,4,"https://en.wikipedia.org/wiki/Finnish_parliamentary_election,_1987"
FIN,1991,Q1,1991.00,2,2,0.596573,4,"https://en.wikipedia.org/wiki/Finnish_parliamentary_election,_1991"
FIN,1995,Q1,1995.00,2,3,0.596573,4,"https://en.wikipedia.org/wiki/Finnish_parliamentary_election,_1995"
FIN,1999,Q1,1999.00,3,3,0.717084,4,"https://en.wikipedia.org/wiki/Finnish_parliamentary_election,_1999"
FIN,2003,Q1,2003.00,2,2,0.572797,4,"https://en.wikipedia.org/wiki/Finnish_parliamentary_election,_2003"
FIN,2007,Q1,2007.00,2,2,0.572797,4,"https://en.wikipedia.org/wiki/Finnish_parliamentary_election,_2007"
FIN,2011,Q2,2011.25,2,1,0.659226,4,"https://en.wikipedia.org/wiki/Finnish_parliamentary_election,_2011"
FRA,1988,Q2,1988.25,1,3,0.631088,5,"https://en.wikipedia.org/wiki/French_legislative_election,_1988"
FRA,1993,Q1,1993.00,3,1,0.091520,5,"https://en.wikipedia.org/wiki/French_legislative_election,_1993"
FRA,1997,Q2,1997.25,1,3,0.498352,5,"https://en.wikipedia.org/wiki/French_legislative_election,_1997"
FRA,2002,Q2,2002.25,3,1,0.414661,5,"https://en.wikipedia.org/wiki/French_legislative_election,_2002"
FRA,2007,Q2,2007.25,1,1,0.139999,5,"https://en.wikipedia.org/wiki/French_legislative_election,_2007"
FRA,2012,Q2,2012.25,1,3,0.123085,5,"https://en.wikipedia.org/wiki/French_legislative_election,_2012"
GBR,1987,Q2,1987.25,1,1,0.000000,5,"https://en.wikipedia.org/wiki/United_Kingdom_general_election,_1987"
GBR,1992,Q2,1992.25,1,1,0.000000,5,"https://en.wikipedia.org/wiki/United_Kingdom_general_election,_1992"
GBR,1997,Q2,1997.25,1,3,0.000000,5,"https://en.wikipedia.org/wiki/United_Kingdom_general_election,_1997"
GBR,2001,Q2,2001.25,3,3,0.000000,5,"https://en.wikipedia.org/wiki/United_Kingdom_general_election,_2001"
GBR,2005,Q2,2005.25,3,3,0.000000,5,"https://en.wikipedia.org/wiki/United_Kingdom_general_election,_2005"
GBR,2010,Q2,2010.25,3,1,0.000000,5,"https://en.wikipedia.org/wiki/United_Kingdom_general_election,_2010"
HUN,1985,Q2,1985.25,3,3,0.000000,5,"https://en.wikipedia.org/wiki/Hungarian_parliamentary_election,_1985"
HUN,1990,Q2,1990.25,3,1,0.000000,5,"https://en.wikipedia.org/wiki/Hungarian_parliamentary_election,_1990"
HUN,1994,Q2,1994.25,1,3,0.402287,4,"https://en.wikipedia.org/wiki/Hungarian_parliamentary_election,_1994"
HUN,1998,Q2,1998.25,3,3,0.377247,4,"https://en.wikipedia.org/wiki/Hungarian_parliamentary_election,_1998"
HUN,2002,Q2,2002.25,3,3,0.467978,4,"https://en.wikipedia.org/wiki/Hungarian_parliamentary_election,_2002"
HUN,2006,Q2,2006.25,3,3,0.182536,4,"https://en.wikipedia.org/wiki/Hungarian_parliamentary_election,_2006"
HUN,2010,Q2,2010.25,3,1,0.000000,4,"https://en.wikipedia.org/wiki/Hungarian_parliamentary_election,_2010"
IRL,1989,Q2,1989.25,2,2,0.000000,5,"https://en.wikipedia.org/wiki/Irish_general_election,_1989"
IRL,1992,Q4,1992.75,2,2,0.135763,5,"https://en.wikipedia.org/wiki/Irish_general_election,_1992"
IRL,1997,Q2,1997.25,1,2,0.541102,5,"https://en.wikipedia.org/wiki/Irish_general_election,_1997"
IRL,2002,Q2,2002.25,2,2,0.095062,5,"https://en.wikipedia.org/wiki/Irish_general_election,_2002"
IRL,2007,Q2,2007.25,2,2,0.165475,5,"https://en.wikipedia.org/wiki/Irish_general_election,_2007"
IRL,2011,Q1,2011.00,2,2,0.174008,5,"https://en.wikipedia.org/wiki/Irish_general_election,_2011"
JPN,1986,Q3,1986.50,1,1,0.000000,4,"https://en.wikipedia.org/wiki/Japanese_general_election,_1986"
JPN,1990,Q1,1990.00,1,1,0.000000,4,"https://en.wikipedia.org/wiki/Japanese_general_election,_1990"
JPN,1993,Q3,1993.50,1,1,0.242457,4,"https://en.wikipedia.org/wiki/Japanese_general_election,_1993"
JPN,1996,Q4,1996.75,3,1,0.472081,4,"https://en.wikipedia.org/wiki/Japanese_general_election,_1996"
JPN,2000,Q2,2000.25,1,1,0.000000,4,"https://en.wikipedia.org/wiki/Japanese_general_election,_2000"
JPN,2003,Q4,2003.75,1,1,0.247943,4,"https://en.wikipedia.org/wiki/Japanese_general_election,_2003"
JPN,2005,Q3,2005.50,1,1,0.239653,4,"https://en.wikipedia.org/wiki/Japanese_general_election,_2005"
JPN,2009,Q3,2009.50,1,0,0.172154,4,"https://en.wikipedia.org/wiki/Japanese_general_election,_2009"
JPN,2012,Q4,2012.75,0,1,0.061524,4,"https://en.wikipedia.org/wiki/Japanese_general_election,_2012"
LTU,1992,Q4,1992.75,1,3,NA,4,"https://en.wikipedia.org/wiki/Lithuanian_parliamentary_election,_1992"
LTU,1996,Q4,1996.75,3,0,0.000000,4,"https://en.wikipedia.org/wiki/Lithuanian_parliamentary_election,_1996"
LTU,2000,Q4,2000.75,0,1,0.461348,4,"https://en.wikipedia.org/wiki/Lithuanian_parliamentary_election,_2000"
LTU,2004,Q4,2004.75,1,3,NA,4,"https://en.wikipedia.org/wiki/Lithuanian_parliamentary_election,_2004"
LTU,2008,Q4,2008.75,3,0,0.604114,4,"https://en.wikipedia.org/wiki/Lithuanian_parliamentary_election,_2008"
LTU,2012,Q4,2012.75,0,0,0.622468,4,"https://en.wikipedia.org/wiki/Lithuanian_parliamentary_election,_2012"
LUX,1989,Q2,1989.25,2,2,0.507246,5,"https://en.wikipedia.org/wiki/Luxembourg_general_election,_1989"
LUX,1994,Q2,1994.25,2,2,0.507692,5,"https://en.wikipedia.org/wiki/Luxembourg_general_election,_1994"
LUX,1999,Q2,1999.25,2,2,0.507824,5,"https://en.wikipedia.org/wiki/Luxembourg_general_election,_1999"
LUX,2004,Q2,2004.25,2,2,0.497984,5,"https://en.wikipedia.org/wiki/Luxembourg_general_election,_2004"
LUX,2009,Q2,2009.25,2,2,0.477952,5,"https://en.wikipedia.org/wiki/Luxembourg_general_election,_2009"
NLD,1989,Q3,1989.50,1,1,0.450000,4,"https://en.wikipedia.org/wiki/Dutch_general_election,_1989"
NLD,1994,Q2,1994.25,1,3,0.416842,4,"https://en.wikipedia.org/wiki/Dutch_general_election,_1994"
NLD,1998,Q2,1998.25,3,3,0.663880,4,"https://en.wikipedia.org/wiki/Dutch_general_election,_1998"
NLD,2002,Q2,2002.25,3,3,0.616839,1,"https://en.wikipedia.org/wiki/Dutch_general_election,_2002"
NLD,2003,Q1,2003.00,3,1,0.615653,4,"https://en.wikipedia.org/wiki/Dutch_general_election,_2003"
NLD,2006,Q4,2006.75,1,1,0.551606,4,"https://en.wikipedia.org/wiki/Dutch_general_election,_2006"
NLD,2010,Q2,2010.25,1,1,0.568671,4,"https://en.wikipedia.org/wiki/Dutch_general_election,_2010"
NLD,2012,Q3,2012.50,1,1,0.572464,4,"https://en.wikipedia.org/wiki/Dutch_general_election,_2012"
NOR,1989,Q3,1989.50,3,3,0.145591,4,"https://en.wikipedia.org/wiki/Norwegian_parliamentary_election,_1989"
NOR,1993,Q3,1993.50,3,3,0.256572,4,"https://en.wikipedia.org/wiki/Norwegian_parliamentary_election,_1993"
NOR,1997,Q3,1997.50,3,1,0.000000,4,"https://en.wikipedia.org/wiki/Norwegian_parliamentary_election,_1997"
NOR,2001,Q3,2001.50,1,1,0.570267,4,"https://en.wikipedia.org/wiki/Norwegian_parliamentary_election,_2001"
NOR,2005,Q3,2005.50,1,3,0.505553,4,"https://en.wikipedia.org/wiki/Norwegian_parliamentary_election,_2005"
NOR,2009,Q3,2009.50,3,3,0.468057,4,"https://en.wikipedia.org/wiki/Norwegian_parliamentary_election,_2009"
POL,1990,Q4,1990.75,3,0,0.704386,5,"https://en.wikipedia.org/wiki/Polish_presidential_election,_1990"
POL,1995,Q4,1995.75,0,3,0.493345,5,"https://en.wikipedia.org/wiki/Polish_presidential_election,_1995"
POL,2000,Q3,2000.75,3,3,0.244034,5,"https://en.wikipedia.org/wiki/Polish_presidential_election,_2000"
POL,2005,Q4,2005.75,3,1,0.273640,5,"https://en.wikipedia.org/wiki/Polish_presidential_election,_2005"
POL,2010,Q3,2010.50,1,2,0.225907,5,"https://en.wikipedia.org/wiki/Polish_presidential_election,_2010"
SWE,1988,Q3,1988.50,3,3,0.191773,3,"https://en.wikipedia.org/wiki/Swedish_general_election,_1988"
SWE,1991,Q3,1991.50,3,1,0.210324,3,"https://en.wikipedia.org/wiki/Swedish_general_election,_1991"
SWE,1994,Q3,1994.50,1,3,0.688270,4,"https://en.wikipedia.org/wiki/Swedish_general_election,_1994"
SWE,1998,Q3,1998.50,3,3,0.000000,4,"https://en.wikipedia.org/wiki/Swedish_general_election,_1998"
SWE,2002,Q3,2002.50,3,3,0.468783,4,"https://en.wikipedia.org/wiki/Swedish_general_election,_2002"
SWE,2006,Q3,2006.50,3,1,0.401102,4,"https://en.wikipedia.org/wiki/Swedish_general_election,_2006"
SWE,2010,Q3,2010.50,1,3,0.637148,4,"https://en.wikipedia.org/wiki/Swedish_general_election,_2010"
USA,1988,Q4,1988.75,1,1,0.000000,4,"https://en.wikipedia.org/wiki/United_States_presidential_election,_1988"
USA,1992,Q4,1992.75,1,3,0.000000,4,"https://en.wikipedia.org/wiki/United_States_presidential_election,_1992"
USA,1996,Q4,1996.75,3,3,0.000000,4,"https://en.wikipedia.org/wiki/United_States_presidential_election,_1996"
USA,2000,Q4,2000.75,3,1,0.000000,4,"https://en.wikipedia.org/wiki/United_States_presidential_election,_2000"
USA,2004,Q4,2004.75,1,1,0.000000,4,"https://en.wikipedia.org/wiki/United_States_presidential_election,_2004"
USA,2008,Q4,2008.75,1,3,0.000000,4,"https://en.wikipedia.org/wiki/United_States_presidential_election,_2008"
USA,2012,Q4,2012.75,3,3,0.000000,4,"https://en.wikipedia.org/wiki/United_States_presidential_election,_2012"
